Name,ID,Check Number,Date,Amount
DOUGLAS DEON,1425,11156,3/22/12,65
DOMINICK DEAN,1397,11142,3/8/12,55
DICK DARRICK,1379,11133,2/28/12,55
ALEXANDER CARY,1185,11036,1/17/12,45
Doe Jane,1121,11004,1/4/12,30
ARDEN CLIFFORD,1265,11076,2/9/12,90
BILLIE DANNY,1355,11121,2/25/12,30
ALFRED CEDRICK,1193,11040,1/17/12,45
BENNY DAMION,1337,11112,2/25/12,30
BARTON CURT,1319,11103,2/25/12,30
ALPHONSE CHARLEY,1207,11047,1/17/12,45
DEXTER DARREN,1377,11132,2/27/12,55
AGUSTIN CARL,1161,11039,1/17/12,45
ARON COLIN,1283,11085,2/9/12,90
ANDREAS CHRISTOPHER,1231,11059,1/27/12,65
ABDUL BUDDY,1139,11013,1/4/12,30
BLAIR DAREN,1361,11124,2/25/12,55
BENNIE DAMIEN,1335,11111,2/25/12,30
DIRK DARYL,1389,11138,3/4/12,55
BERT DANIEL,1349,11118,2/25/12,30
BENEDICT DALE,1327,11107,2/25/12,30
AMOS CHONG,1223,11055,1/23/12,65
ALVIN CHESTER,1217,11052,1/20/12,65
ARTURO CONNIE,1291,11089,2/12/12,30
ANIBAL CLAUD,1243,11065,2/2/12,65
ARMAND CLYDE,1273,11080,2/9/12,90
ANTONIO CLEO,1257,11072,2/9/12,90
Buffet Jimmy,1113,11000,1/4/12,30
ALI CHAD,1197,11042,1/17/12,45
ALDEN CAROL,1175,11031,1/17/12,45
ANTON CLAYTON,1251,11069,2/6/12,65
BENNETT DAMIAN,1333,11110,2/25/12,30
ALDO CARROL,1177,11032,1/17/12,45
DIEGO DARRIN,1381,11134,2/29/12,55
DUANE DESHAWN,1433,11024,1/11/12,30
ABRAHAM BURT,1145,11016,1/7/12,30
BENITO DALLAS,1329,11108,2/25/12,30
ASHLEY CORDELL,1295,11091,2/14/12,30
ANTWAN CLEVELAND,1261,11074,2/9/12,90
DION DARWIN,1387,11137,3/3/12,55
Jefferson George,1125,11006,1/4/12,30
AUBREY COREY,1297,11092,2/15/12,30
DUDLEY DESMOND,1435,11161,3/27/12,65
DONNIE DELMER,1411,11105,2/25/12,30
ALPHONSO CHARLIE,1209,11048,1/17/12,45
ARRON COLLIN,1285,11086,2/9/12,90
DOMENIC DAVE,1391,11139,3/5/12,55
BOBBY DARON,1371,11129,2/25/12,55
ARMANDO CODY,1275,11081,2/9/12,90
BENTON DAMON,1339,11113,2/25/12,30
ALONZO CHARLES,1205,11046,1/17/12,45
ANTHONY CLAUDE,1245,11066,2/3/12,65
ANTONE CLEMENT,1253,11070,2/7/12,90
ART COLTON,1287,11087,2/10/12,90
ALEC CARROLL,1179,11033,1/17/12,45
Kong King,1127,11007,1/4/12,30
ARLIE CLINTON,1271,11079,2/9/12,90
ANTONIA CLEMENTE,1255,11071,2/8/12,90
ALVA CHASE,1213,11050,1/18/12,45
ALBERT CARMEN,1171,11029,1/16/12,30
BILLY DANTE,1357,11122,2/25/12,30
BERNARDO DANA,1343,11115,2/25/12,30
ARCHIE CLIFF,1263,11075,2/9/12,90
AUGUST CORNELIUS,1299,11093,2/16/12,30
BLAINE DARELL,1359,11123,2/25/12,30
BILL DANNIE,1353,11120,2/25/12,30
ARNULFO COLEMAN,1281,11084,2/9/12,90
DONNELL DELMAR,1409,11148,3/14/12,55
ADAN CALEB,1153,11020,1/8/12,30
DUSTY DEWAYNE,1441,11164,3/30/12,65
DONG DEL,1405,11146,3/12/12,55
BARNEY CRAIG,1311,11099,2/22/12,30
Simpson Homer,1133,11010,1/4/12,30
AHMAD CARLO,1163,11025,1/12/12,30
DREW DERRICK,1431,11159,3/25/12,65
ADALBERTO BUSTER,1149,11018,1/8/12,30
